,pmid,annotators,article_type,trial_design,study_body,review_type,research_design_blinded,primary_endpoints,secondary_endpoints,int_allocation,int_primary_purpose,int_study_model,int_study_phase,obs_study_model,obs_time_perspective,study_population_age,study_population_dka,study_population_location,study_population_surgical,study_population_treatment_type,atypical_index_blood_pressure,atypical_index_cost,atypical_index_immunity,atypical_index_reproduction,atypical_index_tumor,study_type,therapeutic_area,diseases,drugs,proteins,adverse_effects,published_at,title,authors,link
10,30275931,Artur; Maciej,observational_study,equivalence,in_vitro; silico,other,open_label,,,,basic_science,single_group,,other,other,,FALSE,multinational,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,other,endocrinology; diabetes; neurology,; t2dm; dm,,"iapp; epigallocatechin-3-gallate(egcg)",,8/2/18,Nanoscale inhibition of polymorphic and ambidextrous IAPP amyloid aggregation with small molecules.,Aleksandr Kakinen; Jozef Adamcik; Bo Wang; Xinwei Ge; Raffaele Mezzenga; Thomas P Davis; Feng Ding; Pu Chun Ke,30275931
11,30275910,Artur; Maciej,observational_study,equivalence,animal,other,open_label,,,randomized,prevention,parallel,,case_control,prospective,children,FALSE,brazil,FALSE,inpatient,FALSE,FALSE,FALSE,FALSE,FALSE,animal_study,cardiology; enocrinology,cvd; dm,,,,9/26/18,"Effects of moderate intensity endurance training vs. high intensity interval training on weight gain, cardiorespiratory capacity, and metabolic profile in postnatal overfed rats.",Carlos Gabriel de Lade; Ana Eliza Andreazzi; Mariana Bolotari; VinÃ_cius Moreira GonÃ§alves Costa; Vera Maria Peters; Martha de Oliveira Guerra,30275910
12,30275531,Artur; Maciej,observational_study,equivalence,human; silico,other,open_label,,,n_a; randomized,other,parallel,,cohort,retrospective,adults,FALSE,multinational,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes; cardiology,cvd; dm2; dm,,,,10/1/18,"Genetics of blood lipids among ~300,000 multi-ethnic participants of the Million Veteran Program.",Derek Klarin; Scott M Damrauer; Kelly Cho; Yan V Sun; Tanya M Teslovich; Jacqueline Honerlaw; David R Gagnon; Scott L DuVall; Jin Li; Gina M Peloso; Mark Chaffin; Aeron M Small; Jie Huang; Hua Tang; Julie A Lynch; Yuk-Lam Ho; Dajiang J Liu; Connor A Emdin; Alexander H Li; Jennifer E Huffman; Jennifer S Lee; Pradeep Natarajan; Rajiv Chowdhury; Danish Saleheen; Marijana Vujkovic; Aris Baras; Saiju Pyarajan; Emanuele Di Angelantonio; Benjamin M Neale; Aliya Naheed; Amit V Khera; John Danesh; Kyong-Mi Chang; GonÃ§alo Abecasis; Cristen Willer; Frederick E Dewey; David J Carey;  ;  ;  ;  ; John Concato; J Michael Gaziano; Christopher J O'Donnell; Philip S Tsao; Sekar Kathiresan; Daniel J Rader; Peter W F Wilson; Themistocles L Assimes,30275531
13,30275524,Artur; Maciej,review,equivalence,human; other,narrative_review,open_label,,,,basic_science,single_group,,cohort,retrospective,adults,FALSE,usa,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,other; human_study,endocrinology; diabetes,metabolic disease; cvd; obesity; dm2; t2dm,,,,10/1/18,Changes in body composition and metabolic disease risk.,Xavier Pi-Sunyer,30275524
14,30275460,Artur; Maciej,review,equivalence,human; other,narrative_review,open_label,,,,basic_science,single_group,,cohort,retrospective,adults,FALSE,usa; china,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,other; human_study,; diabetes; gastroenterology; endocrinology; hypoxia; cardiology,metabolic disease; cvd; obesity; dm2; t2dm,,,,10/1/18,The role of hypoxia-inducible factors in metabolic diseases.,Frank J Gonzalez; Cen Xie; Changtao Jiang,30275460
15,30275386,Artur; Maciej,observational_study,equivalence,human,other,open_label,,,,screening,single_group,,cohort; ecologic_community,prospective,adults,FALSE,china; urban guangzhou,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes,dm2; t2dm,,,,10/1/18,Erythrocyte Saturated Fatty Acids and Incident Type 2 Diabetes in Chinese Men and Women: A Prospective Cohort Study.,Jie-Sheng Lin; Hong-Li Dong; Geng-Dong Chen; Zhan-Yong Chen; Xiao-Wei Dong; Ju-Sheng Zheng; Yu-Ming Chen,30275386
16,30275385,Artur; Maciej,observational_study,equivalence,human,other,open_label,,,nonrandomized,diagnostic,parallel,,case_control,prospective,adults,FALSE,poland,FALSE,inpatient; hospitalized,FALSE,FALSE,FALSE,TRUE,FALSE,human_study,endocrinology; diabetes; gynecology and obstetrics; ,obesity; gdm; t2dm; cvd,,,,10/1/18,Ghrelin in Serum and Urine of Post-Partum Women with Gestational Diabetes Mellitus.,Å»aneta Kimber-Trojnar; Jolanta Patro-MaÅ‚ysza; Katarzyna E SkÃ_rzyÅ„ska-Dziduszko; Jan Oleszczuk; Marcin Trojnar; RadzisÅ‚aw MierzyÅ„ski; BoÅ_ena LeszczyÅ„ska-Gorzelak,30275385
17,30275285,Artur; Maciej,observational_study,equivalence,human; silico,other,open_label,,,,diagnostic,single_group,,cohort,prospective,adults,FALSE,usa; australia,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes; ; genetics,dm1; t2dm,,,,10/1/18,Transcription Factor 7-Like 2 (,Maria J Redondo; Andrea K Steck; Jay Sosenko; Mark Anderson; Peter Antinozzi; Aaron Michels; John M Wentworth; Mark A Atkinson; Alberto Pugliese; Susan Geyer;,30275285
18,30275282,Artur; Maciej,review,equivalence,human,pooled_analysis,open_label,,,randomized,prevention,parallel,,cohort,retrospective,adults,FALSE,usa,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes; cardiology; ,cvd; t2 dm; dm2,metformin,,,10/1/18,Use of a Metabolic Syndrome Severity,Mark D DeBoer; Stephanie L Filipp; Matthew J Gurka,30275282
19,30275018,Artur; Maciej,observational_study,equivalence,in_vitro,other,open_label,,,,basic_science,single_group,,other,other,,FALSE,germany,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,other; human_study,endocrinology; ; genetics,,,protein tbc1d1; recombinant full-length tbc1d1,,10/1/18,AKT and AMPK regulate TBC1D1 through phosphorylation and its interaction with the cytosolic tail of insulin-regulated aminopeptidase IRAP.,Samaneh Mafakheri; Ralf R FlÃ¶rke; Sibylle KanngieÃŸer; Sonja Hartwig; Lena Espelage; Christian De Wendt; Tina SchÃ¶nberger; Nele Hamker; Stefan Lehr; Alexandra Chadt; Hadi Al-Hasani,30275018
20,30274771,Artur; Maciej,review,equivalence,human,narrative_review,open_label,,,,basic_science,single_group,,other,retrospective,adults,FALSE,colombia,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,FALSE,other; human_study,endocrinology; diabetes; hypertension; cardiology,cvd; dm2; t2dm,,,,9/28/18,Blood pressure control and impact on cardiovascular events in patients with type 2 diabetes mellitus: A critical analysis of the literature.,Hernando Vargas-Uricoechea; Manuel Felipe CÃ¡ceres-Acosta,30274771
21,30274618,Artur; Maciej,observational_study,equivalence,human,other,open_label,,,,diagnostic,single_group,,cohort,prospective,adults,FALSE,usa; finland,FALSE,outpatient; outpatient_inpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes; cardiology,cad; ; dm2; scd,,,,,Type 2 diabetes and coronary artery disease: Preserved ejection fraction and sudden cardiac death.,M Juhani Junttila; Antti M Kiviniemi; E Samuli LepojÃ_rvi; Mikko Tulppo; Olli-Pekka Piira; Tuomas KenttÃ_; Juha S PerkiÃ¶mÃ_ki; Olavi H Ukkola; Robert J Myerburg; Heikki V Huikuri,30274618
22,30274447,Artur; Maciej,guideline,equivalence,other,other,open_label,,,,other,single_group,,cohort,prospective,adults,FALSE,south asia,FALSE,outpatient; outpatient_inpatient,FALSE,FALSE,FALSE,FALSE,FALSE,other; human_study,diabetes; tropical diseases,melioidosis; meiloidosis; dm2,,,,5/22/18,"Melioidosis in South Asia (India, Nepal, Pakistan, Bhutan and Afghanistan).",Chiranjay Mukhopadhyay; Tushar Shaw; George M Varghese; David A B Dance,30274447
23,30274325,Artur; Maciej,review,equivalence,human,systematic_review,open_label,,,,prevention,single_group,,cohort,prospective,adults,FALSE,usa,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes; cardiology,cvd; dm2,,,,9/30/18,Dietary Fats and Chronic Noncommunicable Diseases.,Hayley E Billingsley; Salvatore Carbone; Carl J Lavie,30274325
24,30274245,Artur; Maciej,review,equivalence,other,narrative_review,open_label,,,,basic_science,single_group,,other,other,,FALSE,usa,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,other; human_study,endocrinology; diabetes; dnl,cvd; nafld; dm2,,,,9/29/18,Regulation and Metabolic Significance of,Ziyi Song; Alus M Xiaoli; Fajun Yang,30274245
25,30274012,Artur; Maciej,observational_study,equivalence,human,other,open_label,,,nonrandomized,diagnostic,parallel,,ecologic_community,prospective,adults,FALSE,china; chinese han,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,other; human_study,endocrinology; diabetes; ; genetics,dm2,,,,,Relationship Between SLC22A1 and SLC22A4 Gene Polymorphisms and Risk of Type 2 Diabetes in Chinese Han Population.,Guanghui Long; Guangtao Zhang; Fangting Zhang; Dongshuo Ye; Dengke Yang; Yinke Yang,30274012
26,30273931,Artur; Maciej,review,equivalence,human,narrative_review,open_label,,,,prevention,single_group,,other,retrospective,adults,FALSE,spain,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes; nephrology,dkd; dm2,,inflammatory molecules,,10/1/18,Inflammation in Diabetic Kidney Disease.,Rosa E PÃ©rez-Morales; MarÃ_a Dolores Del Pino; JosÃ© Manuel Valdivielso; Alberto Ortiz; Carmen Mora-FernÃ¡ndez; Juan F Navarro-GonzÃ¡lez,30273931
27,30273857,Kornelia; Artur; Maciej,review,equivalence,human,meta_analysis,open_label,,,,supportive_care,single_group,,cohort; ecologic_community,cross_sectional; retrospective,adults,FALSE,india,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes; psyvhiatry,depression; dm2; t2dm,,,,9/19/18,Prevalence of depression among type 2 diabetes mellitus patients in India: A meta-analysis.,Salman Hussain; Anwar Habib; Ambrish Singh; Mohd Akhtar; Abul Kalam Najmi,30273857
28,30273843,Kornelia; Artur; Maciej,observational_study,equivalence,human,other,open_label,,,,diagnostic,parallel,,cohort; case_control,cross_sectional; prospective,adults,FALSE,china,FALSE,outpatient_inpatient,TRUE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes; neurology; psyvhiatry,cognitive impairment; mci; dm2; t2dm,,glp-1; glucagon-like peptide-1 (glp-1),,8/7/18,Low glucagon-like peptide-1 (GLP-1) concentration in serum is indicative of mild cognitive impairment in type 2 diabetes patients.,Peipei Wu; Yuxiao Zhao; Xianghua Zhuang; Aili Sun; Yuan Zhang; Yihong Ni,30273843
29,30273706,Artur; Maciej,observational_study,equivalence,human,other,open_label,,,,diagnostic,single_group,,cohort,prospective; retrospective,adults,FALSE,china,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes,dpn; dm2,,,,9/28/18,Low serum phosphate and magnesium levels are associated with peripheral neuropathy in patients with type 2 diabetes mellitus.,Qi Zhang; Lijin Ji; Hangping Zheng; Qingchun Li; Qian Xiong; Wanwan Sun; Xiaoming Zhu; Yiming Li; Bin Lu; Xiaoxia Liu; Shuo Zhang,30273706
30,30273676,Kornelia; Artur; Maciej,review,equivalence,human,narrative_review; systematic_review,open_label,,,,screening,single_group,,other,retrospective,adults,FALSE,italy,FALSE,outpatient,FALSE,FALSE,TRUE,FALSE,FALSE,human_study,endocrinology; diabetes; angiology; cardiovascular,hyperhomocysteinemia; cvd; htn; acute coronary syndrome; ckd; cerebral ischemia; dm; obstructive sleep apnea (osa); obesity; af; peripheral artery disease (pad); atherothrombosis; atherosclerosis; autoimmune disease; atherosclerotic; antherothrombosis; hf; dm2,,txm,,9/28/18,SIGNIFICANCE OF URINARY 11-DEHYDRO-THROMBOXANE B,Paola Simeone; Andrea Boccatonda; Rossella Liani; Francesca Santilli,30273676
31,30273662,Kornelia; Artur; Maciej,observational_study,equivalence,human,other,open_label,,,,health_services_research,single_group,,cohort; ecologic_community,cross_sectional,adults,FALSE,emirates; united arab emirates; united_arab_emirates,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,other; human_study,endocrinology; diabetes; public health; genetics,obesity; ir; dm2,,,,9/28/18,"The FTO rs9939609 ""A"" allele is associated with impaired fasting glucose and insulin resistance in Emirati population.",Maha Saber-Ayad; Shaista Manzoor; Ahmed El Serafi; Ibrahim Mahmoud; Sarah Hammoudeh; Aghila Rani; Salah Abusnana; Nabil Sulaiman,30273662
32,30273616,Kornelia; Artur; Maciej,interventional_study,equivalence,animal,other,open_label,,,n_a; randomized,treatment,parallel,,cohort,prospective,adults,FALSE,brazil,FALSE,inpatient,FALSE,FALSE,FALSE,FALSE,FALSE,animal_study,endocrinology; diabetes; cardiology; cardiovascular,atherosclerotic; dm2; atherosclerosis,procedure: heat treatment,heat shock proteins (hsps),,9/28/18,"Chronic whole-body heat treatment relieves atherosclerotic lesions, cardiovascular and metabolic abnormalities, and enhances survival time restoring the anti-inflammatory and anti-senescent heat shock response in mice.",Maciel Alencar Bruxel; Angela Maria Vicente Tavares; Luiz Domingues Zavarize Neto; Victor de Souza Borges; Helena Trevisan Schroeder; Patricia Martins Bock; Maria InÃªs Lavina Rodrigues; Adriane BellÃ_-Klein; Paulo Ivo Homem de Bittencourt,30273616
33,30273577,Kornelia; Artur; Maciej,observational_study,equivalence,in_vitro,other,open_label,,,,basic_science,single_group,,other,other,,FALSE,,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,other,endocrinology; diabetes; biochemistry,dm2,,il-6,,9/28/18,Interaction of palmitate and LPS regulates cytokine expression and apoptosis through sphingolipids in human retinal microvascular endothelial cells.,Zhongyang Lu; Yanchun Li; Ji Hyun Ru; Maria F Lopes-Virella; Timothy J Lyons; Yan Huang,30273577
34,30273374,Artur; Maciej,observational_study,equivalence,animal,other,open_label,,,,diagnostic,parallel,,case_only,cross_sectional,adults,FALSE,,FALSE,inpatient,FALSE,FALSE,FALSE,FALSE,FALSE,animal_study,endocrinology; diabetes; cardiology; radiology,cvd; dm2; cardyomyopathy,,,,10/1/18,Isolated perfused working hearts provide valuable additional information during phenotypic assessment of the diabetic mouse heart.,Tina M Pedersen; Neoma T Boardman; Anne D Hafstad; Ellen Aasum,30273374
35,30273364,Kornelia; Artur; Maciej,observational_study,,human,other,open_label,,,,,,,cohort,prospective; cross_sectional,adults; elderly,FALSE,germany,FALSE,outpatient; outpatient_inpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,diabetes,obesity; periodontitis; dm2; t2dm,,,,10/1/18,Obesity alters composition and diversity of the oral microbiota in patients with type 2 diabetes mellitus independently of glycemic control.,Jonathan Tam; Thomas Hoffmann; Sabine Fischer; Stefan Bornstein; JÃ_rgen GrÃ_ÃŸler; Barbara Noack,30273364
36,30272995,Artur; Maciej,review,equivalence,human,pooled_analysis,open_label,,,,treatment,single_group,,cohort,retrospective,adults; elderly,FALSE,a tertiary diabetes referral center in melbourne; australia; baker heart and diabetes institute diabetes clinic,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,diabeetes; endocrinology,dm1,csii; insulin,,,9/29/18,Continuous Subcutaneous Insulin Infusion Can Be Used Effectively and Safely in Older Patients with Type 1 Diabetes: Long-Term Follow-up.,Esther M Briganti; Julia C Summers; Zachary A Fitzgerald; Leo N J Lambers; Neale D Cohen,30272995
37,30272307,Artur; Maciej,observational_study,equivalence,animal,other,open_label,,,,diagnostic,parallel,,case_control,other,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,animal_study,endocrinology; diabetes; molecular biology,dm2,,,,9/21/18,Expression of long nonâ€‘coding RNA and mRNA in the hippocampus of mice with type 2 diabetes.,Li-Ya Ci; De-Shan Liu; Jing-Qing Yang; Yu Zhao Liu; Chang Ling Li; Xi Zhang; Chun Mei Ma; Rui Ting Hu,30272307
38,30271951,Kornelia; Artur,observational_study,,,,,,,,,,,cohort,prospective,adults,FALSE,multinational,TRUE,outpatient_inpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,diabetes,nafld; t2d; dm2,,heat shock proteins (hsp70; grp78),,6/13/18,Metabolic surgery improves insulin resistance through the reduction of gut-secreted heat shock proteins.,Giulia Angelini; Serenella Salinari; Alessandro Bertuzzi; Amerigo Iaconelli; Geltrude Mingrone,30271951
39,30271790,Artur; Maciej,interventional_study,equivalence,animal,other,open_label,,,,basic_science,single_group,,other,other,adults,FALSE,,FALSE,inpatient,FALSE,FALSE,FALSE,FALSE,TRUE,animal_study,oncology; diabetes; molecular biology; gastroenterology; endocrinology,dm2; colorectal cancer,,1 : 1000) was purchased from santa cruz (california; 1 : 1000) was purchased from cell signaling. chip kit (p2078) and cell cycle detection kit (c1052); rb (d221069; mice; 1 : 500); usa). rabbit antibodies against p53 (d120082; anti-klf5 antibody (sc-398470; sp1 (d161137; anti-histone 2a antibody (d151717; mdm2 (d155246; 1 : 1000); china). anti-rabbit fluorescent antibody flux 488 (number 4412; 1 : 200) were purchased from sangon (shanghai; goat; actin (d110001; p-rb (d151284; and anti-bsa (d120272,,9/9/18,Advanced Glycation End Products Increase MDM2 Expression via Transcription Factor KLF5.,Pu Wang; Yu Cheng Lu; Yuan Fei Li; Lan Wang; Shao Chin Lee,30271790
40,30271789,Kornelia; Artur; Maciej,observational_study,equivalence,human,other,open_label,,,nonrandomized,diagnostic,parallel,,ecologic_community; case_control,cross_sectional; prospective,adults,FALSE,china; chinese han population,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,endocrinology; diabetes; cardiology; cardiovascular,coronasy artery stenosis; cad; dm2; cas; t2dm,,glp-1r,,9/9/18,Polymorphisms in the Glucagon-Like Peptide 1 Receptor (,Xiaowei Ma; Ran Lu; Nan Gu; Xiaowei Wei; Ge Bai; Jianwei Zhang; Ruifen Deng; Nan Feng; Jianping Li; Xiaohui Guo,30271789
41,30271778,Kornelia; Artur; Maciej,observational_study,equivalence,human,other,open_label,,,n_a; randomized,health_services_research,single_group,,cohort; ecologic_community,cross_sectional,adults,FALSE,poland; north-east poland,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,chronic low back pain; orthopedics,; low back pain; nonspecifc low back pain (nslbp),,,,9/9/18,Sedentary Lifestyle and Nonspecific Low Back Pain in Medical Personnel in North-East Poland.,Anna Citko; StanisÅ‚aw GÃ_rski; LudmiÅ‚a Marcinowicz; Anna GÃ_rska,30271778
42,30271773,Kornelia; Artur; Maciej,observational_study,equivalence,in_vitro,other,open_label,,,,treatment,single_group,,other,other,,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,other,endocrinology; diabetes; molecular biology; pharmacology,dm2; dm,Î_-butenolides,,,9/13/18,Î±-Glucosidase Inhibitors From the Coral-Associated Fungus,Mengting Liu; Changxing Qi; Weiguang Sun; Ling Shen; Jianping Wang; Junjun Liu; Yongji Lai; Yongbo Xue; Zhengxi Hu; Yonghui Zhang,30271773
43,30271713,Kornelia; Artur,interventional_study,,,,open_label,,,,treatment,single_group,,,prospective,adults,FALSE,israel,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,human_study,diabetes,dm2; dr; t2dm; diabetic dyslipidemia,sr2004 herbal composition,,,4/30/18,"Study of the effect of the herbal composition SR2004 on hemoglobin A1c, fasting blood glucose, and lipids in patients with type 2 diabetes mellitus.",Sumit Chatterji; Dov Fogel,30271713
44,30271382,Kornelia; Artur; Maciej,review,equivalence,human,narrative_review,open_label,,,,treatment,parallel,,cohort,retrospective,adults,FALSE,usa,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,other; human_study,endocrinology; diabetes; nutrition science,obesity; dm2; t2dm,,,,9/13/18,Î_-Cell Failure or Î_-Cell Abuse?,Karel Erion; Barbara E Corkey,30271382
45,30271186,Kornelia; Artur; Maciej,comment,,other,other,open_label,,,,other,,,other,other,adults,FALSE,china,FALSE,outpatient,FALSE,FALSE,FALSE,FALSE,FALSE,other; human_study,endocrinology; diabetes; nutrition science,dm2; t2dm,,,,9/13/18,Nutrition therapy for type 2 diabetes: confirmed efficacy on individualized management.,Feng-Xian Wei; Xue-Ping Qi,30271186
46,30271161,Kornelia; Artur; Maciej,interventional_study,superiority,human,other,open_label,,,n_a; randomized,prevention; treatment,parallel,,case_control,prospective,adults; elderly,FALSE,japan,FALSE,outpatient; hospitalized,TRUE,FALSE,FALSE,FALSE,FALSE,human_study,pharmacology; angiology; diabetes; endocrinology; arterioslcerosis; cardiology,atherosclerosis; arteriosclerosis; dm2; t2dm,eicosapentaenoic acid (epa); sarpogrelate; pitavastatin with epa or saprogelate; pitavastatin; epa,mcp-1; svcam-1; il-6; adiponectin; se-selectin; pai-1,,9/18/18,"Effects of sarpogrelate, eicosapentaenoic acid and pitavastatin on arterioslcerosis obliterans-related biomarkers in patients with type 2 diabetes (SAREPITASO study).",Shosaku Nomura; Takehito Taniura; Akira Shouzu; Seitaro Omoto; Masahiko Suzuki; Yoshinori Okuda; Tomoki Ito,30271161
47,30270717,Kornelia; Artur,interventional_study,,,,open_label,,,randomized,treatment,parallel,,,,adults,FALSE,thailand,FALSE,outpatient,TRUE,FALSE,FALSE,FALSE,FALSE,human_study,diabetes,dm2; t2dm,,,,10/1/18,Effects of meal replacement therapy on metabolic outcomes in Thai patients with type 2 diabetes: A randomized controlled trial.,Apussanee Boonyavarakul; Rattana Leelawattana; Chatlert Pongchaiyakul; Supawan Buranapin; Pariya Phanachet; Pornpoj Pramyothin,30270717
